Title,News Source,Time
"ONGC revamp: New director to spearhead new energy, petrochemicals business ", ETEnergyWorld,"Mon, 17 Jul 2023 02:06:51 GMT"
"Indradhanush Gas, ONGC sign three hook-up agreements ", Construction World,"Mon, 17 Jul 2023 09:04:24 GMT"
Alphageo India up 3% after bagging Rs 39 cr order from ONGC , Moneycontrol,"Mon, 17 Jul 2023 03:55:38 GMT"
"Windfall tax effect: ONGC, Oil India shares under pressure; is there a long-term opportunity? ", Zee Business,"Mon, 17 Jul 2023 04:44:37 GMT"
India considers resuming operations in Iraq's ONGC Videsh Block , Construction World,"Mon, 17 Jul 2023 09:12:16 GMT"
"Stocks to Watch: HDFC Bank, Tata Steel, DMart, SBI, Bandhan Bank, ONGC, and Others ", News18,"Mon, 17 Jul 2023 03:00:16 GMT"
Oil And Natural Gas Corporation Share Price Today Live Updates: Oil And Natural Gas Corporation Sees 1.4... , Economic Times,"Mon, 17 Jul 2023 08:48:00 GMT"
Assam: Nine injured in bus-dumper collision in Sivasagar - Sentinelassam , The Sentinel Assam,"Mon, 17 Jul 2023 05:00:00 GMT"
"Stock Market Live updates: Sensex, Nifty flat in lacklustre trade ... ", BusinessLine,"Mon, 17 Jul 2023 02:52:17 GMT"
Vikas Lifecare shares rise as its subsidiary forms joint venture with IGL , Business Today,"Mon, 17 Jul 2023 09:22:14 GMT"
Exploration and Production Training Market 2031 Business Insights ... - Chatfield News,Record,"Mon, 17 Jul 2023 05:41:34 GMT"
Stock market update: Stocks that hit 52-week lows on NSE , Economic Times,"Mon, 17 Jul 2023 05:10:00 GMT"
Lacklustre Asian cues keep D-Street bulls in sombre mood , The Economic Times,"Mon, 17 Jul 2023 04:11:00 GMT"
"Sensex, Nifty hit record highs as investors track Q1 earnings ", India Today,"Mon, 17 Jul 2023 04:15:31 GMT"
"Sensex, Nify trade flat; broader markets outperform ", The Indian Express,"Mon, 17 Jul 2023 04:06:28 GMT"
"Stock market opened at all time high, Sensex-Nifty created - ", Khabar India,"Mon, 17 Jul 2023 04:24:15 GMT"
"Stocks that will see action today: July 17, 2023 ", BusinessLine,"Mon, 17 Jul 2023 02:29:56 GMT"
From Cobbler’s Son to Business Tycoon! Know THIS Businessman’s Inspiring Journey in Mumbai , DNP INDIA,"Mon, 17 Jul 2023 04:00:00 GMT"
